,distance,altitude_smoothed,label
652,5559,14.8544444444445,downhill
653,5562.7,14.7133333333334,downhill
654,5566.8,14.5722222222222,downhill
655,5571,14.4311111111111,downhill
656,5575.4,14.29,downhill
657,5580.2,14.1477777777778,downhill
658,5585.3,14.0066666666667,downhill
659,5590.4,13.8666666666667,downhill
660,5595.8,13.7277777777778,downhill
661,5601.7,13.5911111111111,downhill
662,5608,13.4555555555556,downhill
663,5614.4,13.3211111111111,downhill
664,5621.4,13.1888888888889,downhill
665,5628.4,13.0577777777778,downhill
666,5635.6,12.9288888888889,downhill
667,5643.3,12.8033333333333,downhill
668,5651.2,12.6811111111111,downhill
669,5659.3,12.5644444444444,downhill
670,5667.7,12.4544444444444,downhill
671,5676.8,12.35,easy
672,5686.7,12.2522222222222,easy
673,5697.2,12.1611111111111,easy
674,5707.5,12.0788888888889,easy
675,5717.9,12.0066666666667,easy
676,5728.5,11.9455555555556,easy
677,5738.8,11.8955555555556,easy
678,5749.1,11.8555555555556,easy
679,5758.8,11.8244444444444,easy
680,5768.5,11.8022222222222,easy
681,5778.1,11.7877777777778,easy
682,5787.8,11.7788888888889,easy
683,5797.5,11.7755555555556,easy
684,5807.6,11.7777777777778,easy
685,5817.4,11.7855555555556,easy
686,5827.4,11.7977777777778,easy
687,5837.4,11.8133333333333,easy
688,5847.2,11.8333333333333,easy
689,5857.4,11.8566666666667,easy
690,5866.9,11.8822222222222,easy
691,5876.2,11.9088888888889,easy
692,5885.5,11.9366666666667,easy
693,5894.6,11.9644444444444,easy
694,5903.7,11.9944444444444,easy
695,5913,12.0277777777778,easy
696,5922.1,12.0644444444444,easy
697,5931.4,12.1033333333333,easy
698,5940.6,12.1455555555556,easy
699,5949.9,12.19,easy
700,5959,12.2366666666667,easy
701,5968.3,12.2833333333333,easy
702,5977.3,12.3333333333333,easy
703,5986.4,12.3855555555556,easy
704,5995.7,12.4366666666667,easy
705,6004.7,12.4855555555556,easy
706,6013.5,12.5344444444444,easy
707,6023,12.5822222222222,easy
708,6032.1,12.6311111111111,easy
709,6041,12.6811111111111,easy
710,6049.8,12.7322222222222,easy
711,6059.5,12.7833333333333,easy
712,6068.3,12.8355555555556,easy
713,6077,12.8877777777778,easy
714,6085.6,12.9388888888889,easy
715,6093.8,12.9888888888889,easy
716,6102.3,13.0388888888889,easy
717,6111.1,13.0877777777778,easy
718,6119.8,13.1344444444444,easy
719,6128.7,13.18,easy
720,6138.6,13.2244444444444,easy
721,6148.1,13.2666666666667,easy
722,6158.3,13.3066666666667,easy
723,6168.2,13.3455555555556,easy
724,6178.7,13.3822222222222,easy
725,6189.8,13.4188888888889,easy
726,6201.2,13.4544444444444,easy
727,6211.3,13.49,easy
728,6219.4,13.5255555555556,easy
729,6226,13.5622222222222,easy
730,6232.7,13.6,easy
731,6239,13.6388888888889,easy
732,6245.9,13.6766666666667,easy
733,6253.2,13.7144444444444,easy
734,6260.6,13.7522222222222,easy
735,6268.1,13.7888888888889,easy
736,6275.5,13.8233333333333,easy
737,6283.1,13.8555555555555,easy
738,6290.4,13.8844444444444,easy
739,6297.7,13.91,easy
740,6304.6,13.9333333333333,easy
741,6311,13.9544444444444,easy
742,6317.5,13.9722222222222,easy
743,6324.2,13.9877777777778,easy
744,6331.6,14.0011111111111,easy
745,6339.5,14.0111111111111,easy
746,6348,14.0188888888889,easy
747,6356.5,14.0244444444444,easy
748,6364.7,14.0277777777778,easy
749,6372.7,14.0288888888889,easy
750,6380.3,14.0277777777778,easy
751,6387.9,14.0255555555556,easy
752,6395.5,14.0233333333333,easy
753,6403.3,14.0211111111111,easy
754,6410.9,14.0188888888889,easy
755,6418.4,14.0177777777778,easy
756,6425.8,14.0177777777778,easy
757,6432.6,14.02,easy
758,6439.8,14.0244444444444,easy
759,6446.8,14.0322222222222,easy
760,6453.6,14.0433333333333,easy
761,6460.4,14.0577777777778,easy
762,6466.4,14.0755555555556,easy
763,6471.8,14.0977777777778,easy
764,6476.5,14.1244444444444,easy
765,6480.9,14.1566666666667,easy
766,6485.8,14.1922222222222,easy
767,6491.2,14.2322222222222,easy
768,6497.2,14.2766666666667,easy
769,6503.5,14.3255555555556,easy
770,6509.8,14.3777777777778,easy
771,6516.2,14.4344444444444,easy
772,6522.4,14.4944444444444,easy
773,6528.4,14.5555555555556,easy
774,6534.9,14.6177777777778,easy
775,6541,14.6822222222222,easy
776,6546.5,14.7477777777778,easy
777,6552.4,14.8144444444444,easy
778,6559.8,14.8822222222222,easy
779,6567,14.9511111111111,easy
780,6574.4,15.0211111111111,easy
781,6581.5,15.0933333333333,easy
782,6589,15.1666666666667,easy
783,6596.3,15.2422222222222,easy
784,6603,15.32,easy
785,6609.3,15.3988888888889,easy
786,6615.4,15.4777777777778,easy
787,6621.1,15.5588888888889,easy
788,6627,15.6411111111111,easy
789,6633.1,15.7244444444444,easy
790,6639.6,15.8088888888889,easy
791,6645.8,15.8955555555556,easy
792,6651.9,15.9833333333333,easy
793,6658.1,16.0711111111111,easy
794,6663.5,16.16,easy
795,6669,16.2511111111111,easy
796,6674.5,16.3433333333333,easy
797,6680,16.4377777777778,easy
798,6685.1,16.5333333333333,easy
799,6689.6,16.6311111111111,easy
800,6693.9,16.7311111111111,easy
801,6698.3,16.8333333333333,easy
802,6702.8,16.9366666666667,easy
803,6707,17.04,easy
804,6711.1,17.1444444444444,easy
805,6715.2,17.25,easy
806,6719.8,17.3566666666667,easy
807,6724.7,17.4655555555556,easy
808,6730.1,17.5744444444444,easy
809,6735,17.6844444444444,easy
810,6740,17.7955555555556,easy
811,6745,17.9066666666667,easy
812,6749.7,18.0188888888889,easy
813,6754.8,18.1333333333333,easy
814,6760.6,18.25,easy
815,6768.1,18.3711111111111,easy
816,6774.9,18.4944444444444,easy
817,6782,18.6211111111111,easy
818,6788.1,18.75,easy
819,6793.9,18.8788888888889,easy
820,6800.3,19.0088888888889,easy
821,6806,19.1388888888889,easy
822,6812.6,19.27,easy
823,6820.8,19.4,easy
824,6827.5,19.5311111111111,easy
825,6835.4,19.6622222222222,easy
826,6842.9,19.7933333333333,easy
827,6850.5,19.9244444444444,easy
828,6857.7,20.0544444444444,easy
829,6864.8,20.1822222222222,easy
830,6871.8,20.3077777777778,easy
831,6878,20.43,easy
832,6883.5,20.5511111111111,easy
